Plate,Plate ID,Well,Well Number,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Term Source 2 REF,Term Source 2 Accession,Cell Type,Gene Symbol,Comment [Gene Comments],Gene Identifier,RefSeq Accession,RefSeq GI Number,Control Type,Duplex Number 1,Duplex Number 2,Duplex Number 3,Duplex Number 4,Reagent Design Gene Annotation Build,Analysis Gene Annotation Build,Comment [Image File Path]
Hs578T_Val-2393c,2393c,D3,39,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,AATK,,9625,NM_001080395,122937190,,,,,D-005301-05,,,./Validation PKT screen Hs578T/Hs578T Validation set 1/Hs578T_Val-2393c
Hs578T_Val-2393a,2393a,D3,39,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,AATK,,9625,NM_001080395,122937190,,,,,D-005301-05,,,./Validation PKT screen Hs578T/Hs578T Validation set 1/Hs578T_Val-2393a
Hs578T_Val-2393d,2393d,D3,39,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,AATK,,9625,NM_001080395,122937190,,,,,D-005301-05,,,./Validation PKT screen Hs578T/Hs578T Validation set 1/Hs578T_Val-2393d
Hs578T_Val-2393d,2393d,D2,38,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,smartpool,AATK,,9625,NM_001080395,122937190,,D-005301-02,D-005301-03,D-005301-04,D-005301-05,,,./Validation PKT screen Hs578T/Hs578T Validation set 1/Hs578T_Val-2393d
Hs578T_Val-2393b,2393b,D2,38,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,smartpool,AATK,,9625,NM_001080395,122937190,,D-005301-02,D-005301-03,D-005301-04,D-005301-05,,,./Validation PKT screen Hs578T/Hs578T Validation set 1/Hs578T_Val-2393b
Hs578T_Val-2393c,2393c,D2,38,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,smartpool,AATK,,9625,NM_001080395,122937190,,D-005301-02,D-005301-03,D-005301-04,D-005301-05,,,./Validation PKT screen Hs578T/Hs578T Validation set 1/Hs578T_Val-2393c
Hs578T_Val-2393a,2393a,D2,38,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,smartpool,AATK,,9625,NM_001080395,122937190,,D-005301-02,D-005301-03,D-005301-04,D-005301-05,,,./Validation PKT screen Hs578T/Hs578T Validation set 1/Hs578T_Val-2393a
Hs578T_Val-2393b,2393b,D3,39,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,AATK,,9625,NM_001080395,122937190,,,,,D-005301-05,,,./Validation PKT screen Hs578T/Hs578T Validation set 1/Hs578T_Val-2393b
Hs578T_Val-2393b,2393b,D5,41,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,AATK,,9625,NM_001080395,122937190,,,D-005301-03,,,,,./Validation PKT screen Hs578T/Hs578T Validation set 1/Hs578T_Val-2393b
Hs578T_Val-2393b,2393b,D4,40,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,AATK,,9625,NM_001080395,122937190,,,,D-005301-04,,,,./Validation PKT screen Hs578T/Hs578T Validation set 1/Hs578T_Val-2393b
